zone_id,name,subprefecture,demand_multiplier,surge_sensitivity,centroid_latitude,centroid_longitude
AAL,ARTUR ALVIM,PENHA,1.0,1.2,-23.538360,-46.488467
ANH,ANHANGUERA,PERUS,0.6,1.5,-23.435420,-46.793239
API,ALTO DE PINHEIROS,PINHEIROS,1.7,0.9,-23.548000,-46.712045
ARA,AGUA RASA,MOOCA,1.2,1.1,-23.565815,-46.571896
ARI,ARICANDUVA,ARICANDUVA-FORMOSA-CARRAO,1.0,1.2,-23.574649,-46.516348
BEL,BELEM,MOOCA,1.2,1.1,-23.538332,-46.595206
BFU,BARRA FUNDA,LAPA,1.4,1.0,-23.521548,-46.672442
BRE,BOM RETIRO,SE,1.3,1.1,-23.526016,-46.636431
BRL,BRASILANDIA,FREGUESIA-BRASILANDIA,0.9,1.3,-23.447518,-46.689143
BRS,BRAS,MOOCA,1.2,1.1,-23.544288,-46.616574
BUT,BUTANTA,BUTANTA,1.4,1.0,-23.569949,-46.726303
BVI,BELA VISTA,SE,1.3,1.1,-23.560933,-46.646615
CAC,CACHOEIRINHA,CASA VERDE-CACHOEIRINHA,1.0,1.2,-23.455836,-46.661322
CAD,CIDADE ADEMAR,CIDADE ADEMAR,0.8,1.4,-23.673324,-46.657528
CAR,CARRAO,ARICANDUVA-FORMOSA-CARRAO,1.0,1.2,-23.552555,-46.536814
CBE,CAMPO BELO,SANTO AMARO,1.5,1.0,-23.626979,-46.669352
CDU,CIDADE DUTRA,CAPELA DO SOCORRO,0.7,1.4,-23.724180,-46.704985
CGR,CAMPO GRANDE,SANTO AMARO,1.5,1.0,-23.675407,-46.687776
CLD,CIDADE LIDER,ITAQUERA,0.9,1.3,-23.561791,-46.491686
CLM,CAMPO LIMPO,CAMPO LIMPO,0.8,1.4,-23.634803,-46.763949
CMB,CAMBUCI,SE,1.3,1.1,-23.565402,-46.617243
CNG,CANGAIBA,PENHA,1.0,1.2,-23.495976,-46.518034
CON,CONSOLACAO,SE,1.3,1.1,-23.548271,-46.659958
CRE,CAPAO REDONDO,CAMPO LIMPO,0.8,1.4,-23.666976,-46.780051
CTI,CIDADE TIRADENTES,CIDADE TIRADENTES,0.6,1.5,-23.586520,-46.399839
CUR,CURSINO,IPIRANGA,1.2,1.2,-23.631399,-46.620488
CVE,CASA VERDE,CASA VERDE-CACHOEIRINHA,1.0,1.2,-23.500590,-46.659878
ERM,ERMELINO MATARAZZO,ERMELINO MATARAZZO,0.8,1.3,-23.491461,-46.485552
FRE,FREGUESIA DO O,FREGUESIA-BRASILANDIA,0.9,1.3,-23.488238,-46.695332
GRA,GRAJAU,CAPELA DO SOCORRO,0.7,1.4,-23.788499,-46.668046
GUA,GUAIANASES,GUAIANASES,0.7,1.4,-23.556747,-46.406177
IBI,ITAIM BIBI,PINHEIROS,1.7,0.9,-23.601862,-46.685221
IGU,IGUATEMI,SAO MATEUS,0.7,1.4,-23.612763,-46.428343
IPA,ITAIM PAULISTA,ITAIM PAULISTA,0.7,1.5,-23.503681,-46.386686
IPI,IPIRANGA,IPIRANGA,1.2,1.2,-23.594129,-46.601812
ITQ,ITAQUERA,ITAQUERA,0.9,1.3,-23.533872,-46.455217
JAB,JABAQUARA,JABAQUARA,1.1,1.2,-23.649609,-46.646353
JAC,JACANA,JACANA-TREMEMBE,0.8,1.3,-23.463378,-46.576951
JAG,JAGUARA,LAPA,1.4,1.0,-23.510082,-46.743135
JAR,JARAGUA,PIRITUBA-JARAGUA,0.9,1.3,-23.446241,-46.738775
JBO,JOSE BONIFACIO,ITAQUERA,0.9,1.3,-23.567680,-46.431999
JDA,JARDIM ANGELA,M'BOI MIRIM,0.6,1.5,-23.713380,-46.769034
JDH,JARDIM HELENA,SAO MIGUEL,0.8,1.4,-23.484661,-46.416504
JDP,JARDIM PAULISTA,PINHEIROS,1.7,0.9,-23.567132,-46.664843
JDS,JARDIM SAO LUIS,M'BOI MIRIM,0.6,1.5,-23.679620,-46.739253
JRE,JAGUARE,LAPA,1.4,1.0,-23.544529,-46.746288
LAJ,LAJEADO,GUAIANASES,0.7,1.4,-23.534214,-46.407878
LAP,LAPA,LAPA,1.4,1.0,-23.523225,-46.706057
LIB,LIBERDADE,SE,1.3,1.1,-23.566247,-46.632587
LIM,LIMAO,CASA VERDE-CACHOEIRINHA,1.0,1.2,-23.498096,-46.674863
MAN,MANDAQUI,SANTANA-TUCURUVI,1.1,1.2,-23.458939,-46.640179
MAR,MARSILAC,PARELHEIROS,0.5,1.5,-23.936395,-46.706312
MOE,MOEMA,VILA MARIANA,1.6,1.0,-23.595942,-46.662430
MOO,MOOCA,MOOCA,1.2,1.1,-23.562722,-46.595047
MOR,MORUMBI,BUTANTA,1.4,1.0,-23.597034,-46.709485
PDR,PEDREIRA,CIDADE ADEMAR,0.8,1.4,-23.706230,-46.651882
PEN,PENHA,PENHA,1.0,1.2,-23.522066,-46.531674
PIN,PINHEIROS,PINHEIROS,1.7,0.9,-23.565917,-46.687814
PIR,PIRITUBA,PIRITUBA-JARAGUA,0.9,1.3,-23.482731,-46.725096
PLH,PARELHEIROS,PARELHEIROS,0.5,1.5,-23.829415,-46.717471
